Successfully loaded english dataset
Successfully loaded afrikaans dataset
Successfully loaded swahili dataset
Successfully loaded south-african-english dataset
Successfully loaded xhosa dataset
Successfully loaded isizulu dataset
Successfully loaded kinyarwanda dataset
Successfully loaded igbo dataset
Successfully loaded tswana dataset
Successfully loaded zulu dataset
Combined training dataset size: 18779
Combined test dataset size: 1393
[2025-04-22 01:21:27,808] [INFO] [real_accelerator.py:219:get_accelerator] Setting ds_accelerator to cuda (auto detect)
Warning: The cache directory for DeepSpeed Triton autotune, /home/mkapadni/.triton/autotune, appears to be on an NFS system. While this is generally acceptable, if you experience slowdowns or hanging when DeepSpeed exits, it is recommended to set the TRITON_CACHE_DIR environment variable to a non-NFS path.
{'loss': 4.4865, 'grad_norm': 3.676882743835449, 'learning_rate': 2.996933560477002e-05, 'epoch': 0.02}
{'loss': 3.9371, 'grad_norm': 4.186441421508789, 'learning_rate': 2.9918228279386714e-05, 'epoch': 0.03}
{'loss': 3.5521, 'grad_norm': 3.95827054977417, 'learning_rate': 2.986712095400341e-05, 'epoch': 0.05}
{'loss': 3.2507, 'grad_norm': 4.668154716491699, 'learning_rate': 2.9816013628620104e-05, 'epoch': 0.07}
{'loss': 3.2546, 'grad_norm': 2.7625906467437744, 'learning_rate': 2.97649063032368e-05, 'epoch': 0.09}
{'loss': 3.193, 'grad_norm': 3.0695579051971436, 'learning_rate': 2.9713798977853494e-05, 'epoch': 0.1}
{'loss': 3.4193, 'grad_norm': 2.528482675552368, 'learning_rate': 2.966269165247019e-05, 'epoch': 0.12}
{'loss': 3.2376, 'grad_norm': 1.167162299156189, 'learning_rate': 2.9611584327086884e-05, 'epoch': 0.14}
{'loss': 2.9071, 'grad_norm': 3.4107470512390137, 'learning_rate': 2.956047700170358e-05, 'epoch': 0.15}
{'loss': 2.997, 'grad_norm': 10.670117378234863, 'learning_rate': 2.9509369676320275e-05, 'epoch': 0.17}
{'loss': 2.8807, 'grad_norm': 7.856330871582031, 'learning_rate': 2.945826235093697e-05, 'epoch': 0.19}
{'loss': 3.0728, 'grad_norm': 5.725675582885742, 'learning_rate': 2.9407155025553665e-05, 'epoch': 0.2}
{'loss': 3.0783, 'grad_norm': 6.492572784423828, 'learning_rate': 2.935604770017036e-05, 'epoch': 0.22}
{'loss': 3.0819, 'grad_norm': 8.495743751525879, 'learning_rate': 2.9310051107325385e-05, 'epoch': 0.24}
{'loss': 2.961, 'grad_norm': 6.472987174987793, 'learning_rate': 2.925894378194208e-05, 'epoch': 0.26}
{'loss': 3.029, 'grad_norm': 8.621590614318848, 'learning_rate': 2.9207836456558775e-05, 'epoch': 0.27}
{'loss': 2.99, 'grad_norm': 4.2828874588012695, 'learning_rate': 2.915672913117547e-05, 'epoch': 0.29}
{'loss': 2.9556, 'grad_norm': 11.573089599609375, 'learning_rate': 2.9105621805792165e-05, 'epoch': 0.31}
{'loss': 3.0077, 'grad_norm': 13.1580228805542, 'learning_rate': 2.905451448040886e-05, 'epoch': 0.32}
